country_code,year,gdp_per_capita,inflation,unemployment,gdp_growth,fiscal_balance,current_account
CAN,2010,47560.6666009406,1.77687154092627,8.178,3.09080634469335,-2.22136723715912,-3.59618567149688
CAN,2011,52223.8588398531,2.91213508872351,7.637,3.13719442170364,-0.911072492915979,-2.77400602599856
CAN,2012,52670.3447335415,1.51567823124516,7.392,1.75566129145483,-0.516854977958138,-3.53224767688726
CAN,2013,52638.1187235237,0.938291897815316,7.143,2.32581354806429,-0.0719674448508055,-3.14687545091254
CAN,2014,50960.8431174661,1.90663590717861,7.023,2.87346677785811,0.948871044469965,-2.31892137730875
CAN,2015,43594.1941045394,1.12524136094277,6.945,0.649971001734855,0.998722896723441,-3.51398716666024
CAN,2016,42314.0615817218,1.42875954701085,7.038,1.03855092490855,0.412730871331151,-3.093111446907
CAN,2017,45129.628116623,1.59688412852976,6.426,3.03383491200222,0.439587955196598,-2.8034274767599
CAN,2018,46539.1761570405,2.26822567248103,5.837,2.74296344906655,0.890962538332993,-2.38507161087906
CAN,2019,46352.8693445211,1.94926902411592,5.69,1.90843194590616,0.238247240295596,-1.95170274818579
CAN,2020,43537.839298904,0.716999632307827,9.657,-5.03823343468899,-9.53931636017772,-2.01049352658991
CAN,2021,52886.6616372703,3.39519318527527,7.527,5.95052802804381,-2.40861514290875,-0.0219632282728945
CAN,2022,56256.8007264015,6.80280115341612,5.279,4.18903628100851,0.616884255719166,-0.444191262050462
CAN,2023,54220.3285039875,3.87900159788425,5.415,1.52874550838358,0.593801234572109,-0.701167819027619
CAN,2024,54340.3477224733,2.38158383281173,6.351,1.55479521049516,-1.18274439141946,-0.493601554278577
CHE,1990,39574.5398083788,5.40395909218937,,3.67462550079662,0.605284136441445,2.30416679097882
CHE,1991,39544.4946826768,5.85959663468677,1.818,-0.915816616547943,-0.3950804703976,3.54569531654709
CHE,1992,40713.6881521435,4.03703020778739,2.344,-0.0437330086271288,-1.28498832044953,4.77655904971077
CHE,1993,39237.1186558781,3.29262180313606,3.551,-0.125983460416222,-2.10928148082114,6.19880976982837
CHE,1994,43091.7770970073,0.852116995120664,3.58,1.26975779924055,-1.75270882077453,5.55095675929766
CHE,1995,50113.8321221345,1.79982776867149,3.094,0.480866374676907,-1.12176512223795,5.86746774422011
CHE,1996,48092.6433036512,0.811634064628187,3.684,0.471280025458157,-1.36408463193961,5.85583867296391
CHE,1997,41584.441782159,0.52022542273664,4.127,2.26132529914345,-1.64430991986457,8.58808810990499
CHE,1998,42680.5867322391,0.0179384378439321,3.568,3.02996930632413,-0.934323122185446,8.30236609471626
CHE,1999,41695.6912912021,0.806444380959459,3.053,1.66270104939127,-1.81541839215743,9.49505631733892
CHE,2000,38865.021939688,1.55852919679008,2.658,3.95871990780931,0.0225390824479681,11.3076946100378
CHE,2001,39638.7911061864,0.989020329832545,2.49,1.57566198688916,0.124108852451169,7.19741907544756
CHE,2002,42458.7384679187,0.642711506543277,2.924,-0.0732172569941127,-1.75121131238448,7.44432955080725
CHE,2003,49335.7456291067,0.638272930887189,4.117,-0.0323984255438887,-0.784190279958091,11.2839125641806
CHE,2004,54659.4571488233,0.802908730955226,4.316,2.70170912949028,-0.930574003093343,12.5267566706554
CHE,2005,56242.8933645639,1.17195420333702,4.437,2.74969910618739,-0.466338485184501,11.4042731060379
CHE,2006,59011.0324592016,1.05950928324804,3.995,4.0736284178369,0.354880701649121,12.7744512326326
CHE,2007,64989.1553256031,0.732350603122236,3.641,3.91637577227581,0.629043062565377,8.7710939994753
CHE,2008,74175.1927898555,2.42604117060157,3.35,2.8079835919566,1.21507544067818,1.7393654638505
CHE,2009,71568.3123885672,-0.480481936423304,4.109,-2.29737452570922,0.160724238555726,6.31578593186998
CHE,2010,76531.3729407691,0.688238707219974,4.808,3.24339715656356,0.238263278517432,13.7637552846667
CHE,2011,90476.7589651577,0.2313492076509,4.409,1.81310830459596,0.496244544188108,6.89626180837809
CHE,2012,85836.2076767359,-0.692552018105163,4.491,1.17925385250513,0.515786746162258,9.420174912337
CHE,2013,87304.3305813557,-0.217323155115672,4.747,1.79214400716117,0.454493269604395,10.2777052188642
CHE,2014,88724.9909402638,-0.0132025387515945,4.826,2.34988141500179,0.324013064540193,7.45768731974455
CHE,2015,83806.4476003837,-1.14390867228178,4.801,1.64462750849488,0.570206504694741,9.19252436695627
CHE,2016,82153.0745447889,-0.434618664285814,4.918,2.06868969039562,0.164707843948354,7.22909989028111
CHE,2017,82254.3769269767,0.533787839825876,4.797,1.36279965488859,0.887313576640051,5.31739432808419
CHE,2018,85217.3691512274,0.936335464113572,4.713,2.86044579439036,0.862510071010443,6.11910384279991
CHE,2019,84121.9310304414,0.362886179940674,4.394,1.14198218965691,0.936282213106685,4.10788534673467
CHE,2020,85897.7843338323,-0.725874933313402,4.817,-2.14173712008038,-2.33931866892146,0.447364685859182
CHE,2021,93664.7736696111,0.581814168489855,5.013,5.55962020605844,-0.678018183063219,7.67153133241718
CHE,2022,94394.5106803525,2.83502798644451,4.122,3.04406102969423,0.543917776031658,9.27988775297973
CHE,2023,100623.549627296,2.13540088016386,4.043,0.683328174376044,0.145956425190205,6.08643291881863
CHE,2024,103998.186685604,1.06234041976594,4.343,1.30233332541106,0.508747497700865,9.2041597979768
CHL,1990,2487.76829657299,26.0364811362364,,3.59872304691744,0.322630947798966,-1.44968764303319
CHL,1991,2798.34262413795,21.7844124277757,5.23,7.75620189312957,1.18891402434511,-0.25554288126347
CHL,1992,3351.84108855522,15.4258064688927,4.35,11.5019314370192,2.00871139995541,-2.0561295791378
CHL,1993,3540.91377313015,12.7277669490963,4.49,6.6855844008042,1.63456079384142,-5.11105015900292
CHL,1994,4012.10159912285,11.4431196444972,5.87,5.07680374667352,1.41193098883851,-2.76296605169419
CHL,1995,5081.4682771561,8.23263034116114,4.7,9.25542757753573,2.08466052977018,-1.82822028885922
CHL,1996,5333.50438729711,7.35911781788767,7.414,7.1148626270751,1.98664180002043,-3.92274308347759
CHL,1997,5741.95842989596,6.13386464357927,7.136,7.3917392684331,1.84613535533896,-4.26887262850026
CHL,1998,5419.82417297191,5.11024954517559,7.307,4.18088662700669,0.400433275660356,-4.77915592737757
CHL,1999,4933.55581516755,3.33687917526023,11.158,-0.2736313981937,-1.29388169259378,0.131436581248041
CHL,2000,5052.99245766325,3.84327295706565,10.491,4.9716214882971,-0.63266566558493,-1.14568457860136
CHL,2001,4563.5952986689,3.56910053001466,10.39,3.15403492459967,-0.512562970138886,-1.53703377110131
CHL,2002,4430.84741157984,2.48939816650705,10.168,3.20279913520113,-1.18693435162141,-0.825565731667287
CHL,2003,4773.40177520754,2.8101787574361,9.765,4.72324526861041,-0.43569299475668,0.21460039582268
CHL,2004,6120.59152055344,1.05473871403516,10.162,6.67425416822923,2.06064525156146,3.26056295397732
CHL,2005,7480.32330998636,3.05257621387849,9.34,5.83704571917758,4.41228406590638,1.91109059952903
CHL,2006,9318.65655296121,3.39201733699405,9.024,6.04999082563968,7.33657876746517,5.49643732024025
CHL,2007,10346.4138184533,4.40779938398044,8.427,5.16823098528431,8.37523724038668,5.05557874807609
CHL,2008,10683.2188772511,8.71626873039607,9.285,3.78939280635238,4.51065606515382,-4.18826982519764
CHL,2009,10098.8017167286,0.353045178360936,11.313,-1.11803723642878,-4.24188446241115,1.43974883336493
CHL,2010,12632.8704724192,1.4107110795432,8.547,5.85165102224047,-0.424929387598192,0.896881680744073
CHL,2011,14487.3927832032,3.34121694259302,7.492,6.22389678509138,1.29024479364727,-4.91713901662884
CHL,2012,15241.9069981119,3.00744840213047,6.79,6.15534001855494,0.541407106942835,-5.32849119001729
CHL,2013,15683.5486369155,1.7895555398459,6.361,3.30850824710085,-0.605378261875088,-4.77606541666957
CHL,2014,14529.6767206336,4.71867527854671,6.761,1.79264947139259,-1.56083895943885,-3.46029991877659
CHL,2015,13433.9202987032,4.34877353217044,6.605,2.15194249981184,-2.14568328960442,-2.73506821605392
CHL,2016,13649.8520452803,3.78619355893118,6.926,1.753038749071,-2.73388798624091,-2.62065852365988
CHL,2017,14879.9086227187,2.18271846868519,7.257,1.35769537343957,-2.55814767454965,-2.75779980852367
CHL,2018,15659.4808675628,2.43488981353057,7.623,3.99002947789977,-1.7258596181872,-4.48367554777816
CHL,2019,14495.716721687,2.55754475703326,7.493,0.634367533828438,-2.84519500863434,-5.21244978814827
CHL,2020,13114.815470545,3.04549084804326,10.934,-6.14347479224092,-7.21904641164918,-1.94941123362021
CHL,2021,16206.8325493421,4.52456838259143,9.281,11.3149204879049,-7.72312323783927,-7.28208296226132
CHL,2022,15405.6165774073,11.6438667110559,8.249,2.15399356192458,1.13200004002418,-8.84931514465226
CHL,2023,17067.0364799154,7.58168251407962,9.013,0.521367977246825,-2.39074850027879,-3.12862449043213
CHL,2024,16709.8893972307,4.29763891572524,8.718,2.64431154871538,-2.77846156209812,-1.46933081175439
CHN,1990,318.50335359039,3.05229012075233,,3.9416305983694,,3.31811936794009
CHN,1991,334.130288119078,3.55668565220452,2.37,9.36170212784847,,3.45166169027996
CHN,1992,367.822651903542,6.35398134024868,2.37,14.2996108947926,,1.49380742683803
CHN,1993,378.939353053314,14.6100786356602,2.69,13.9290780143689,,-2.59966643215884
CHN,1994,475.677874448369,24.2569897243361,2.9,13.0727091631599,,1.21849357261851
CHN,1995,612.680277898627,16.7912251650916,3.0,11.0328121562746,,0.219237328483813
CHN,1996,713.337387811657,8.31316028893908,3.12,9.97619992053447,,0.833943624966418
CHN,1997,786.743548510999,2.78646505531881,3.23,9.2876465280865,,3.81946407941415
CHN,1998,835.095348597432,-0.773186011549318,3.24,7.92079207933551,,3.0345158579566
CHN,1999,881.146614068925,-1.40147268276464,3.25,7.7370030581299,,1.91286225540032
CHN,2000,969.199513696287,0.347811226864586,3.26,8.58643201808462,,1.67667411710879
CHN,2001,1065.40597574519,0.719125609120113,3.8,8.31263887091522,,1.28417196444636
CHN,2002,1163.55957673426,-0.731970902350243,4.24,9.24339326638321,,2.37759984341841
CHN,2003,1306.97245408557,1.12760348729637,4.58,10.1181928640117,,2.55665409110255
CHN,2004,1530.92726215723,3.82463743108159,4.49,10.1314073631003,,3.47450259619584
CHN,2005,1777.64496828464,1.7764140766757,4.52,11.458238455067,,5.71199843031159
CHN,2006,2129.25696999613,1.64943099455859,4.43,12.6746751655235,,8.30532573537482
CHN,2007,2734.72709877693,4.81676767378834,4.35,14.1499854947127,,9.79958953536146
CHN,2008,3523.44302065213,5.92525137041091,4.59,9.67024588602851,,9.0108699631763
CHN,2009,3898.24459158811,-0.728165250932898,4.72,9.40269972778044,,4.68740638141982
CHN,2010,4629.24551710077,3.17532475269199,4.53,10.5962719761682,,3.84025673415249
CHN,2011,5703.76027973346,5.55389892257493,4.55,9.4613358870736,,1.77399724587567
CHN,2012,6405.0574241349,2.6195243264554,4.58,7.85617427055587,,2.48328422404793
CHN,2013,7147.03518622344,2.62105001748114,4.6,7.77872409446717,,1.52111320885029
CHN,2014,7781.06597484974,1.9216416278852,4.63,7.46190028229434,,2.21130586371267
CHN,2015,8175.33285077393,1.43702380935654,4.65,6.97878002657477,,2.59752794949746
CHN,2016,8254.86859320357,2.00000182191943,4.56,6.77555562837017,,1.67018709565351
CHN,2017,8979.67652709856,1.59313600071435,4.47,6.8912663621211,,1.50488723669315
CHN,2018,10085.6638148819,2.07479039965576,4.31,6.75671800166833,,0.170563391928727
CHN,2019,10342.9009524335,2.89923416358226,4.56,6.06850235053705,,0.706790487310518
CHN,2020,10627.4637989619,2.41942189457782,5.0,2.34018843078414,,1.65930095801393
CHN,2021,12887.4357242941,0.981015135544881,4.55,8.57008513166322,,1.93875176197337
CHN,2022,12970.6056414327,1.9735755573905,4.98,3.1341888719577,,2.42059259149418
CHN,2023,12951.1782397043,0.23483682889305,4.67,5.41484330099675,,1.4415829879426
CHN,2024,13303.1481543868,0.218128938439177,4.59,4.9773565917572,,2.2616499482671
COL,1990,1474.8455285342,29.1520245976215,,4.28199833053058,,1.13284627622115
COL,1991,1485.73971889208,30.3878204854435,10.12,2.00160759559029,,4.77635581102987
COL,1992,1730.39091795329,27.010626623136,9.44,4.04492943933556,,1.54179329402071
COL,1993,1929.26721811738,22.4424828533275,7.8,5.38540993901029,,-3.1640347587015
COL,1994,2325.91872973374,22.8462417553044,8.25,5.81466190724336,,-4.48814605215356
COL,1995,2583.66576349858,20.8917930194849,8.72,5.20243759278655,,-4.8816442586875
COL,1996,2664.64056059983,20.7975755127401,11.81,2.05585471287195,,-4.77689886981533
COL,1997,2873.2814350993,18.4700217119089,12.14,3.43029367788374,,-5.39146862906034
COL,1998,2604.87166959518,18.6769799276671,15.0,0.569784088434517,-3.3846862132337,-4.93441634428213
COL,1999,2241.22911801216,10.873687085747,20.06,-4.20401524244947,-6.1130721498046,0.778526882820605
COL,2000,2555.00751039968,9.22534818585365,20.52,2.92486148176778,-3.12229518191751,0.846461525527854
COL,2001,2472.99084035833,7.96556090304834,15.04,1.67789830787579,,-1.05937674050926
COL,2002,2428.92969771584,6.35150728778872,14.481,2.50398046659659,,-1.31623163816019
COL,2003,2311.94218760291,7.1297886294186,13.221,3.91827190322513,-5.04967005952806,-0.963598625978888
COL,2004,2818.57195413044,5.90402005546502,13.717,5.33302206759905,,-0.66148309595793
COL,2005,3456.06610874512,5.05101962689695,11.062,4.82876110773741,,-1.33773107053945
COL,2006,3789.85361217027,4.29342363628926,11.088,6.71686869844402,,-1.8486662357596
COL,2007,4769.926147194,5.54438485815155,11.204,6.73819469090975,,-2.9819266093631
COL,2008,5541.83629665898,6.9968849555451,11.273,3.28344618616541,-5.72450803056946,-2.67924104556952
COL,2009,5250.97292433518,4.20251661216481,12.066,1.13964864548062,-7.08183877154717,-1.90692601755576
COL,2010,6398.2958447102,2.27200227892008,11.153,4.49465897070922,-4.56011818549425,-2.99583091222973
COL,2011,7400.9940695669,3.4150334477625,10.288,6.94789198173555,-1.07075617545713,-2.90611447190462
COL,2012,8108.59838244229,3.16930188840055,9.959,3.91263576716115,2.76559285648913,-3.14008013112592
COL,2013,8279.10255642981,2.01699224310383,9.246,5.13399351995672,-5.53469562087851,-3.23615067105019
COL,2014,8187.20824890084,2.89883787761737,8.799,4.49903000110972,-4.16681218983894,-5.19843119341789
COL,2015,6248.51490534512,4.98983115849529,8.572,2.95590137527523,-1.40738619185838,-6.37230442230879
COL,2016,5959.84250367574,7.51346024627674,8.922,2.08738250162794,-3.04286241958897,-4.45195067751588
COL,2017,6479.53231292429,4.3143132569501,9.086,1.35936086788746,-2.19824409588726,-3.18224191114871
COL,2018,6816.96818309544,3.24056932930569,9.36,2.56432428277704,-2.61320674678311,-4.20138344687969
COL,2019,6472.54544924705,3.52301932741446,10.28,3.18685539245533,-2.23798643665382,-4.58427517266059
COL,2020,5339.68711357943,2.52663500084706,15.983,-7.18591413760859,-8.51553357908288,-3.42772945914236
COL,2021,6222.62164397614,3.49505757399448,13.898,10.8011981904878,-7.65394474545161,-5.6351694946032
COL,2022,6680.44506854481,10.1772313546166,10.541,7.32827729427979,-5.29929051233517,-6.04054199360168
COL,2023,7000.83660501046,11.7359044948689,9.591,0.712380031974334,-2.04098550110347,-2.2713986641114
COL,2024,7919.20886825345,6.60908593728228,9.619,1.5983315366523,-4.65465157436065,-1.67431987455953
CZE,1990,3969.36733543794,,,,,
CZE,1991,2917.08655474323,,2.27,-11.6149423646776,,
CZE,1992,3396.70972430469,11.086500072223,2.6,-0.506542343116848,,
